CPU	 1	 0
CPU	 3	 0
CPU	 5	 0
CPU	 7	 0.01665
CPU	 9	 0
CPU	 11	 0
CPU	 13	 0
CPU	 15	 0
CPU	 17	 0
CPU	 19	 0
CPU	 21	 0
CPU	 23	 0
CPU	 25	 0
CPU	 27	 0
CPU	 29	 0
CPU	 31	 0
CPU	 33	 0
CPU	 35	 0.016675
CPU	 37	 0
CPU	 39	 0.016675
CPU	 41	 0
CPU	 43	 0.016675
CPU	 45	 0
CPU	 47	 0
CPU	 49	 0
IO	 0	 7.7
IO	 2	 7.73332
IO	 4	 7.76665
IO	 6	 7.78332
IO	 8	 7.8
IO	 10	 7.83335
IO	 12	 7.85
IO	 14	 7.86667
IO	 16	 7.88333
IO	 18	 7.88333
IO	 20	 7.88335
IO	 22	 7.9
IO	 24	 7.9
IO	 26	 7.9
IO	 28	 7.9
IO	 30	 7.9
IO	 32	 7.9
IO	 34	 7.86667
IO	 36	 7.86665
IO	 38	 7.85
IO	 40	 7.83333
IO	 42	 7.81668
IO	 44	 7.78332
IO	 46	 7.75
IO	 48	 7.73335
